Shape code,month code,TOTAL_SF
13,9,15.49
13,9,15.49
16,9,4970.35
16,9,2517.45
16,9,2272.16
16,9,2013.96
16,9,2013.96
17,9,6924.03
17,9,3005.06
17,9,2974.08
17,9,2974.08
17,9,2974.08
17,9,2974.08
17,9,991.36
17,9,991.36
17,9,991.36
17,9,991.36
17,9,991.36
17,9,991.36
17,9,991.36
17,9,991.36
17,9,991.36
17,9,495.68
9,9,1533.6
9,9,1533.6
9,9,1533.6
9,9,1022.4
9,9,511.2
9,9,42.6
9,9,10.65
9,9,10.65
12,9,3393.04
12,9,23.24
14,9,9.68
5,9,162.33
5,9,74.23
5,9,31.95
5,9,31.95
5,9,21.3
5,9,21.3
5,9,19.36
5,9,8.39
5,9,5.16
5,9,0.32
5,9,0.32
10,9,1022.4
10,9,1022.4
10,9,1022.4
10,9,1022.4
10,9,511.2
10,9,191.7
15,9,2130.52
1,9,500.55
1,9,479.25
1,9,479.25
1,9,479.25
1,9,479.25
1,9,479.25
1,9,479.25
1,9,95.85
1,9,95.85
1,9,0.97
6,9,221.18
6,9,182.45
6,9,166.1
6,9,166.1
6,9,166.1
6,9,166.1
6,9,166.1
6,9,166.1
6,9,166.1
6,9,166.1
6,9,166.1
6,9,165.24
6,9,165.24
6,9,36.15
6,9,36.15
3,9,351.36
3,9,351.36
3,9,351.36
3,9,351.36
3,9,351.36
3,9,351.36
3,9,53.53
11,9,619.68
11,9,619.68
11,9,619.68
11,9,619.68
11,9,619.68
7,9,60
7,9,0.5
8,9,2.29
13,10,5452.48
13,10,2741.73
13,10,1440.57
13,10,991.36
13,10,650.58
13,10,495.68
13,10,495.68
13,10,495.68
13,10,495.68
13,10,139.41
13,10,92.94
13,10,61.96
13,10,15.49
13,10,15.49
13,10,15.49
13,10,15.49
16,10,2013.96
16,10,735.87
18,10,787.8
18,10,577.72
17,10,3903.48
17,10,495.68
17,10,387.25
17,10,-495.68
9,10,660.3
9,10,511.2
9,10,138.45
9,10,63.9
14,10,4375.36
14,10,648.56
5,10,42.6
5,10,28.4
5,10,21.3
5,10,20.01
5,10,8.71
5,10,3.23
5,10,1.94
5,10,0.32
10,10,159.75
10,10,149.1
10,10,85.2
10,10,11.62
10,10,11.62
1,10,31.95
1,10,14.52
1,10,2.91
1,10,2.91
1,10,1.94
1,10,1.94
1,10,1.94
1,10,0.97
1,10,0.97
1,10,0.97
1,10,0.97
1,10,0.97
1,10,0.97
1,10,0.97
1,10,0.97
3,10,4.12
3,10,4.12
3,10,4.12
3,10,2.74
3,10,1.37
3,10,1.37
7,10,150
7,10,0.5
8,10,16.52
4,10,5.84
4,10,2.92
13,11,5204.64
13,11,3887.99
13,11,3640.15
13,11,3005.06
13,11,2168.6
13,11,1998.21
13,11,1982.72
13,11,1982.72
13,11,1982.72
13,11,1982.72
13,11,1982.72
13,11,1487.04
13,11,1208.22
13,11,1037.83
13,11,836.46
13,11,464.7
13,11,108.43
13,11,108.43
13,11,15.49
13,11,15.49
13,11,15.49
16,11,9140.28
16,11,6764.84
16,11,5293.1
18,11,2914.86
17,11,2974.08
17,11,1301.16
17,11,588.62
17,11,495.68
17,11,495.68
9,11,404.7
9,11,117.15
9,11,85.2
14,11,1016.4
5,11,58.73
5,11,55.84
5,11,53.25
5,11,53.25
5,11,53.25
5,11,53.25
5,11,30.66
5,11,21.3
5,11,16.78
5,11,9.68
5,11,8.39
5,11,2.58
10,11,511.2
10,11,202.35
10,11,31.95
10,11,5.81
10,11,5.81
1,11,58.09
1,11,14.52
1,11,0.97
6,11,2.58
6,11,2.58
3,11,70
3,11,4.12
3,11,4.12
7,11,71
4,11,4.38
4,11,2.92
13,12,11896.32
13,12,4166.81
13,12,3144.47
13,12,2974.08
13,12,2974.08
13,12,1827.82
13,12,1626.45
13,12,1425.08
13,12,1332.14
13,12,991.36
13,12,495.68
13,12,495.68
13,12,216.86
13,12,108.43
13,12,92.94
13,12,46.47
13,12,46.47
13,12,46.47
13,12,30.98
13,12,15.49
16,12,503.49
18,12,2166.45
18,12,958.49
17,12,1982.72
17,12,123.92
17,12,30.98
9,12,3439.95
9,12,213
9,12,63.9
9,12,10.65
5,12,129.75
5,12,92.95
5,12,32.27
5,12,19.69
5,12,19.36
5,12,16.14
5,12,10.33
5,12,9.68
5,12,1.94
5,12,0.32
10,12,766.8
10,12,42.6
10,12,31.95
15,12,347.84
1,12,414.38
1,12,29.05
1,12,19.36
1,12,12.59
1,12,1.94
1,12,1.94
1,12,0.97
1,12,0.97
1,12,0.97
1,12,0.97
6,12,-82.19
3,12,1.37
3,12,1.37
7,12,1
2,12,0.25
13,13,8813.81
13,13,4089.36
13,13,3500.74
13,13,2695.26
13,13,2478.4
13,13,2075.66
13,13,2013.7
13,13,1487.04
13,13,1347.63
13,13,1223.71
13,13,991.36
13,13,991.36
13,13,991.36
13,13,991.36
13,13,991.36
13,13,991.36
13,13,851.95
13,13,635.09
13,13,557.64
13,13,325.29
13,13,154.9
13,13,-1688.41
18,13,748.41
17,13,2044.68
17,13,991.36
17,13,139.41
17,13,30.98
17,13,15.49
9,13,1001.1
9,13,1001.1
9,13,330.15
9,13,287.55
9,13,85.2
12,13,1115.52
14,13,193.6
14,13,96.8
5,13,69.39
5,13,50.67
5,13,29.05
5,13,29.05
5,13,23.56
5,13,21.3
5,13,13.88
5,13,12.91
