Shape,Shape code,Color,MMYYYY,AVG,TOTAL_SF
"4""x12""",5,NB01-Ivory,62017,5.55,29.05
"4""x12""",5,AE01-Ivory,72017,5.55,29.05
"4""x12""",5,NB50-Super White,82017,7.41,29.05
"4""x12""",5,AE03-Light Brown,62017,8.64,29.05
"2""x2""",1,NB54-Ash Gray,52017,3.99,29.05
"3""x6""",3,MA03-Frost,12017,3.79,28.82
"4""x12""",5,MA04-Marfil,32017,5.55,28.4
"2""x2""",1,NB57-Tobacco,72017,3.99,27.11
"2""x2""",1,MA03-Frost,122016,3.6,27.11
"4""x12""",5,TM02-Gray,72017,4.93,26.79
"4""x12""",5,AE01-Ivory,92017,7.1,26.79
"18""x36""",18,AE03-Light Brown,92016,2.09,26.26
"2""x2""",1,NB54-Ash Gray,12017,3.04,26.14
"8""x48""",16,RW01-Beige,102016,0.95,25.82
"8""x48""",16,RW03-Dark Gray,102016,0.95,25.82
"8""x48""",16,RW04-Warm Brown,102016,0.95,25.82
"8""x48""",16,RW05-Dark Brown,102016,0.95,25.82
"4""x12""",5,AE04-Dark Gray,82017,8.64,25.17
"4""x12""",5,NB51-Avorio,102016,6.79,24.53
"4""x12""",5,AE02-Light Gray,12017,5.55,24.2
"2""x2""",1,MS01-White,92017,3.99,24.2
"2""x2""",1,NB51-Avorio,102016,3.99,24.2
"4""x12""",5,MA01-Statuary,12017,4.63,23.56
"4""x12""",5,OR03-Gray,62017,5.55,23.56
"6""x36""",12,AE01-Ivory,22017,2.39,23.24
"4""x12""",5,AE03-Light Brown,72017,8.64,21.3
"4""x12""",5,MA03-Frost,92017,8.64,21.3
"4""x12""",5,MS02-Ivory,42017,6.79,21.3
"4""x12""",5,OR01-Ivory,12017,5.55,21.3
"4""x12""",5,MA06-Bardigio,92017,5.55,21.3
"4""x12""",5,OR02-Beige,72017,5.55,21.3
"4""x12""",5,TM01-Beige,12017,4.93,21.3
"4""x12""",5,TM01-Beige,22017,4.93,21.3
"4""x12""",5,TS01-Beige,12017,4.93,21.3
"4""x12""",5,TS01-Beige,22017,4.93,21.3
"4""x12""",5,MA06-Bardigio,62017,5.55,21.3
"4""x12""",5,OR01-Ivory,32017,5.55,21.3
"6""x24""",10,FB03-Taupe,92017,2.09,21.3
"6""x24""",10,RW02-Light Gray,62017,1.49,21.3
"4""x12""",5,AC03-Greige,92017,5.86,20.33
"2""x2""",1,MS04-Toffee,62017,4.09,20.33
"4""x12""",5,MA02-Daino Reale,32017,8.64,20.01
"6""x12""",7,AC04-Flamed Gray,92017,0,20
"4""x12""",5,MA02-Daino Reale,52017,7.1,19.69
"6""x48""",14,RW01-Beige,82016,1.99,19.36
"6""x48""",14,RW03-Dark Gray,82016,1.99,19.36
"6""x48""",14,RW02-Light Gray,82016,1.99,19.36
"6""x48""",14,RW04-Warm Brown,82016,1.99,19.36
"6""x48""",14,RW05-Dark Brown,82016,1.99,19.36
"4""x12""",5,AE01-Ivory,52017,8.64,19.36
"4""x12""",5,NB10-Ivory,122016,5.55,19.36
"4""x12""",5,AE02-Light Gray,22017,7.1,19.36
"2""x2""",1,NB58-Nero,52017,3.99,19.36
"2""x2""",1,NB57-Tobacco,82017,3.99,19.36
"2""x2""",1,MS03-Light Gray,92017,3.99,19.36
"2""x2""",1,TS02-Light Gray,122016,3.19,19.36
"3""x6""",3,MS03-Light Gray,82017,4.29,19.22
"4""x12""",5,TM02-Gray,82017,4.93,19.04
"4""X18""",8,PR01-Bianco,72017,10.02,18.81
"4""x12""",5,NB01-Ivory,82017,5.55,18.72
"4""x12""",5,PR01-Bianco,92017,6.79,18.4
"4""X18""",8,PR01-Bianco,82017,10.24,18.36
"2""x2""",1,MA01-Statuary,122016,3.6,17.43
"4""x12""",5,AE01-Ivory,42017,5.55,16.78
"4""X18""",8,PR01-Bianco,32017,10.24,16.52
"2""x2""",1,NB58-Nero,82017,3.99,16.46
"4""x12""",5,AC02-Light Gray,12017,5.86,16.14
"4""x12""",5,TM02-Gray,52017,4.93,16.14
"4""x12""",5,AC03-Greige,82017,5.86,16.14
"8""x8""",6,NB16-Flower Deco,92016,5.8,15.92
"8""x8""",6,NB17-Clover Deco,92016,5.8,15.92
"8""x8""",6,NB18-Bowtie Deco,92016,5.8,15.92
"8""x8""",6,NB21-Eyelet Deco,92016,5.8,15.92
"8""x8""",6,NB23-Cubes Deco,92016,5.8,15.92
"8""x8""",6,NB15-Diamond Deco,92016,5.8,15.92
"8""x8""",6,NB19-Moorish Deco,92016,5.8,15.92
"8""x8""",6,NB20-Squares Deco,92016,5.8,15.92
"8""x8""",6,NB22-Scroll Deco,92016,5.8,15.92
"12""x24""",13,AC02-Light Gray,72017,1.89,15.49
"12""x24""",13,TS02-Light Gray,102016,0.59,15.49
"12""x24""",13,AE03-Light Brown,72017,1.79,15.49
"12""x24""",13,CR01-Ivory Blend,12017,0.85,15.49
"12""x24""",13,CR03-Brown Blend,12017,0.85,15.49
"12""x24""",13,NB53-Silver Gray,72017,2.19,15.49
"12""x24""",13,NB59-Super Black,52017,2.39,15.49
"12""x24""",13,NB59-Super Black,122016,1.14,15.49
"12""x24""",13,AC01-Taupe,42017,1.89,15.49
"12""x24""",13,AC01-Taupe,72017,1.89,15.49
"12""x24""",13,FB03-Taupe,12017,2.09,15.49
"12""x24""",13,NB02-Beige,72017,1.49,15.49
"12""x24""",13,NB10-Ivory,12017,0.7,15.49
"12""x24""",13,NB10-Ivory,72017,1.49,15.49
"12""x24""",13,NB10-Ivory,92016,0.7,15.49
"12""x24""",13,NB14-Black,72017,1.49,15.49
"12""x24""",13,NB14-Black,102016,0.7,15.49
"12""x24""",13,NB52-Beige,22017,1.24,15.49
"12""x24""",13,NB52-Beige,72017,2.19,15.49
"12""x24""",13,NB52-Beige,92016,1.05,15.49
"12""x24""",13,NB52-Beige,102016,1.05,15.49
"12""x24""",13,TM01-Beige,72017,1.19,15.49
"12""x24""",13,TS01-Beige,102016,0.59,15.49
"12""x24""",13,AC03-Greige,42017,1.89,15.49
