"Series","Shape","Color","TOTAL_SF"
"Fabric Folio","Waterjet Mosaic","FB01-Ivory","1248.68"
"B+W Glazed Porcelain Mosaics","Half Octagon","BW03-Black & White Mixed","1230.08"
"NO.12","6""x24""","NB51-Avorio","1214.1"
"B+W Glazed Porcelain Mosaics","Half Octagon","BW01-White Matte","1178.69"
"Orvieto","6""x24""","OR04-Taupe","1171.5"
"Marble Folio","4""x12""","MA04-Marfil","1166.36"
"NO.12","6""x24""","NB53-Silver Gray","1128.9"
"Aegean","4""x12""","AE02-Light Gray","1123.72"
"NO.9","8""x24""","NB11-Gray","1123.17"
"NO.5","24""x24""","NB04-Dark Gray","1099.79"
"Marble Folio","3""x6""","MA03-Frost","1047.22"
"Fabric Folio","Waterjet Mosaic","FB03-Taupe","1043.65"
"NO.9","24""x24""","NB12-Dark Gray","991.36"
"Fabric Folio","Waterjet Mosaic","FB04-Black","985.95"
"Mars Stone","24""x24""","MS01-White","960.38"
"Aegean","4""x12""","AE03-Light Brown","958.5"
"Carrington","24""x24""","CR03-Brown Blend","898.42"
"NO.9","8""x8""","NB21-Eyelet Deco","897.61"
"Fabric Folio","3""x6""","FB02-Silver","860.54"
"Marble Folio","2""x2""","MA05-Emperador Light","856.84"
"Aegean","6""x36""","AE04-Dark Gray","848.26"
"NO.9","8""x8""","NB17-Clover Deco","847.7"
"Orvieto","4""x12""","OR03-Gray","834.94"
"Marble Folio","3""x6""","MA04-Marfil","815.26"
"Townscape","4""x12""","TS02-Light Gray","797.74"
"Aegean","2""x4"" Soldier Mosaic","AE03-Light Brown","787.14"
"NO.5","4""x12""","NB02-Beige","757.44"
"Arcadia","Waterjet Mosaic","AC02-Light Gray","721.31"
"NO.12","6""x24""","NB57-Tobacco","713.55"
"Arcadia","24""x24""","AC04-Flamed Gray","712.54"
"NO.12","2""x2""","NB53-Silver Gray","698.07"
"NO.12","2""x2""","NB58-Nero","691.28"
"NO.9","8""x24""","NB14-Black","684.23"
"Arcadia","Waterjet Mosaic","AC01-Taupe","682.21"
"NO.12","6""x24""","NB59-Super Black","681.6"
"NO.5","24""x48""","NB01-Ivory","681.56"
"Marble Folio","3""x6""","MA06-Bardigio","673.89"
"Arcadia","Waterjet Mosaic","AC03-Greige","671.94"
"Townscape","4""x12""","TS03-Dark Gray","661.26"
"NO.9","8""x24""","NB10-Ivory","645.5"
"NO.9","8""x24""","NB13-Toffee","645.5"
"Mars Stone","24""x24""","MS02-Ivory","635.09"
"Fabric Folio","3""x6""","FB03-Taupe","599.78"
"Mars Stone","Random Linear","MS03-Light Gray","581.89"
"Marble Folio","4""x12""","MA06-Bardigio","576.72"
"Preeminent","4""x12""","PR01-Bianco","575.41"
"Mars Stone","3""x6""","MS03-Light Gray","543.52"
"NO.9","24""x48""","NB13-Toffee","526.66"
"NO.5","2""x2""","NB03-Gray","500.55"
"NO.5","2""x2""","NB01-Ivory","500.55"
"NO.5","2""x2""","NB02-Beige","500.55"
"NO.5","2""x2""","NB04-Dark Gray","500.55"
"Mars Stone","6""x12""","MS02-Ivory","498.5"
"NO.12","12""x12""","NB56-Grigio","489.9"
"Fabric Folio","3""x6""","FB04-Black","463.9"
"NO.12","2""x2""","NB54-Ash Gray","452.16"
"NO.9","8""x8""","NB19-Moorish Deco","438.9"
"Orvieto","4""x12""","OR01-Ivory","437.96"
"Aegean","4""x12""","AE04-Dark Gray","425.35"
"Carrington","24""x24""","CR02-Blue Gray","418.23"
"Marble Folio","3""x6""","MA05-Emperador Light","399.39"
"Carrington","8""x8""","CR02-Blue Gray","397.63"
"Arcadia","24""x24""","AC01-Taupe","371.76"
"NO.12","2""x2""","NB57-Tobacco","361.14"
"Mars Stone","4""x12""","MS02-Ivory","354.69"
"Marble Folio","4""x12""","MA05-Emperador Light","349.52"
"Carrington","8""x8""","CR03-Brown Blend","349.44"
"Fabric Folio","3""x6""","FB01-Ivory","343.12"
"NO.9","24""x48""","NB11-Gray","340.78"
"Mars Stone","2""x2""","MS06-Black","336.94"
"NO.9","4""x12""","NB11-Gray","334.03"
"Orvieto","4""x12""","OR02-Beige","326.27"
"NO.5","4""x24""","NB03-Gray","319.58"
"NO.5","4""x24""","NB04-Dark Gray","319.58"
"NO.5","4""x24""","NB02-Beige","319.58"
"NO.5","4""x24""","NB01-Ivory","319.58"
"Time","4""x12""","TM02-Gray","319.51"
"Fabric Folio","4""x12""","FB01-Ivory","317.56"
"Carrington","8""x8""","CR01-Ivory Blend","313.29"
"NO.12","24""x24""","NB54-Ash Gray","278.82"
"NO.12","2""x2""","NB56-Grigio","270.14"
"NO.12","2""x2""","NB50-Super White","269.16"
"NO.9","8""x8""","NB22-Scroll Deco","249.13"
"NO.5","6""x12""","NB03-Gray","235.5"
"NO.9","8""x8""","NB20-Squares Deco","229.34"
"Mars Stone","6""x12""","MS06-Black","227"
"NO.9","8""x8""","NB15-Diamond Deco","226.33"
"NO.9","8""x8""","NB18-Bowtie Deco","226.33"
"NO.9","8""x8""","NB23-Cubes Deco","226.33"
"NO.9","8""x8""","NB16-Flower Deco","225.9"
"NO.12","Random Linear","NB58-Nero","221.35"
"Carrington","8""x24""","CR03-Brown Blend","219.47"
"NO.9","8""x48""","NB11-Gray","219.47"
"NO.12","4""x12""","NB58-Nero","213.31"
"NO.5","6""x48""","NB01-Ivory","203.28"
"Fabric Folio","4""x12""","FB03-Taupe","202.35"
"Mars Stone","3""x6""","MS01-White","200.38"
"Carrington","8""x24""","CR01-Ivory Blend","193.65"
"NO.9","8""x8""","NB26-Dark Gray","190.62"
"NO.9","8""x8""","NB24-Beige","190.19"
"NO.12","Random Linear","NB54-Ash Gray","187.17"
"NO.12","6""x12""","NB59-Super Black","184"
"NO.9","8""x8""","NB25-Red Brown","182.88"
"NO.9","8""x8""","NB27-Black","182.44"
"NO.12","6""x24""","NB55-Blue","181.05"
